,noDA.24,noDA.26,noDA.34,noDA.60,DA.26,DA.34
F54C1.7,40398.84304,96733.17509,108026.0035,17130.94774,72173.24077,87921.34025
tnc-2,3501.936806,1967.546762,2746.139074,2931.234047,1276.581909,1520.988614
F43C9.2,1535.518913,508.715347,306.8598094,601.5623937,668.5305513,776.7608244
cbn-1,265.6679639,7649.60334,394.1580289,263.1126114,3358.877253,743.0613248
B0563.7,75.66758552,71.2533602,148.0876684,290.5891807,81.16592753,139.22097
C50C3.5,244.1214103,200.6701764,877.576023,541.2127943,143.5540922,172.096843
C56A3.6,680.3626668,705.5298681,1856.878095,1691.996274,571.5325729,538.5685966
E02A10.3,156.3941396,401.4197659,677.9616987,543.7351174,197.9812281,128.0999717
F23F1.2,10.89600724,17.20145927,38579.17353,109.7964747,14.32053407,30.23177225
H10E21.4,2751.019544,1317.752141,2891.055599,92.10119616,1525.588184,8336.255991
M04F3.4,626.1508551,1380.731326,703.0658129,469.1815681,915.2373712,1148.498576
T03F1.11,2708.321374,1751.739651,1039.582891,1637.211062,1351.284934,2035.768238
F16F9.3,270.9534694,164.2202987,140.2187342,67.98240388,145.7168753,156.6262165
T09B4.4,687.8320914,1486.239323,411.9682793,452.624949,838.7327236,703.2920009
gtl-1,2448.229354,339.4076758,938.164946,699.6159713,417.0297316,408.4341275
trpa-1,545.9569104,182.9340329,248.1681539,118.3103503,278.2798577,274.271866
trpl-2,170.3580001,315.8500801,222.8987651,92.04936387,447.0178071,233.8576687
che-6,8.455382853,12.39112192,579.5684075,59.30516641,15.5754204,5.374211317
acr-5,53.42222215,41.23021355,482.4423195,84.05216066,46.25042778,53.89986457
acr-8,425.8929427,390.9061855,239.0840444,32.58870072,335.5203382,275.6044173
C35C5.5,203.2311461,218.2386755,94.36197491,70.2879599,170.3348922,185.2745421
acr-16,356.9918574,312.0032193,256.6902001,101.5574133,331.8862848,378.8753645
acr-25,199.2565951,27.17505963,91.94402861,75.57596016,40.53901746,87.5066207
cup-4,566.0641569,798.9150072,1371.492778,230.3024246,623.4471172,615.7207727
deg-3,308.6058401,269.2077968,452.2479977,348.6991363,281.7430591,162.8890623
unc-29,285.4537789,240.2557679,260.2088701,104.1487947,268.2428814,249.1130705
Y44A6E.1,468.8574224,268.7137056,120.7705057,53.37638008,264.8266216,352.341213
lgc-11,127.5257128,23.1870333,55.24821566,64.45497302,8.09057734,4.098732899
lgc-21,984.3055656,129.5244576,2991.844638,121.4058972,100.2882134,420.3644841
