"","noDA.24","noDA.26","noDA.34","noDA.60","DA.26","DA.34"
"WBGene00004419",27495.48591,35388.32876,20288.90245,50560.17272,42543.30845,87747.51494
"WBGene00004420",31005.41899,42257.87541,23479.14443,60369.77596,38097.7604,94192.50429
"WBGene00004421",74343.12491,126131.8806,70251.9958,175960.0303,106563.5169,174927.8471
"WBGene00004422",11630.93115,23244.22916,32803.59729,59856.51849,19076.62333,32187.54623
"WBGene00004423",33008.58721,49679.55248,19109.59591,73514.17091,43810.28552,82172.19683
"WBGene00004424",37853.44971,44041.22772,26508.301,68979.25878,41004.14854,84762.29103
"WBGene00004425",52335.25235,76472.90645,42403.10287,118099.3246,67921.62297,142993.7614
"WBGene00004426",35639.65689,61969.01925,32928.58206,83291.18027,48104.99403,79625.76542
"WBGene00004427",45584.87102,68349.36486,39829.32304,116328.1605,60391.79317,127642.0881
"WBGene00004428",42132.95044,42663.399,28202.29361,79183.02071,39749.73853,84935.46432
"WBGene00004429",44043.87626,76777.20366,40818.31751,113318.4852,66761.14129,142076.6772
"WBGene00004430",45732.86133,44359.22018,29391.04432,85563.86519,46671.45617,106035.1459
"WBGene00004431",60589.17328,77878.38056,49415.14244,135761.1604,65194.77462,95709.79452
"WBGene00004432",42254.53131,47462.11099,25374.85049,69473.83348,44654.6026,101392.917
"WBGene00004433",42182.48092,40643.06011,27017.90559,75998.96276,40291.83802,99916.45238
"WBGene00004434",49506.69396,83995.61767,36268.50213,79578.69816,69661.95869,118450.0886
"WBGene00004435",50302.96725,91623.43472,47484.59038,105548.2031,74253.61875,145864.0024
"WBGene00004436",45470.75791,54645.60179,30677.23009,86109.73199,51362.94555,93302.66909
"WBGene00004437",3085.136619,1757.12529,3316.469899,12839.64877,1942.050943,2955.510659
"WBGene00004438",12595.55457,15835.04779,6565.14284,26396.24005,15678.95094,34155.63967
"WBGene00004439",14742.19224,17378.981,15890.11344,39962.08744,16984.02126,29433.24198
"WBGene00004440",31057.35364,45833.80126,24502.75173,78224.73767,37533.46513,88911.30986
"WBGene00004441",52971.42435,81309.31895,44029.3083,105734.3778,68380.30168,118326.9759
"WBGene00004442",25047.54535,35532.1058,19646.91121,56935.3806,30443.49348,72824.72434
"WBGene00004443",28993.32558,52775.3436,15079.29791,38514.73926,38839.14557,56183.663
"WBGene00004444",28577.56895,34503.65799,22764.9356,57164.52998,30221.20249,54462.29819
"WBGene00004445",29207.76649,46529.45793,23956.747,61147.90637,44748.238,106216.4141
"WBGene00004446",37312.92833,59161.08426,24179.90842,68532.04274,51294.34099,85964.29626
"WBGene00004447",36198.88981,39868.71391,24477.07088,69069.37682,39225.04344,89848.82885
"WBGene00004448",18914.93189,28519.54757,17843.39009,52446.83331,25637.12634,58652.01627
"WBGene00004449",38224.768,40279.90949,29767.2541,78943.83901,36753.05486,75483.27913
"WBGene00004450",41937.37465,40893.37208,22079.20427,62533.82459,35200.14951,64647.52438
"WBGene00004451",1997.896709,4254.014115,2295.735513,5592.828041,3453.346707,5662.957763
"WBGene00004452",38357.43661,56521.17485,25389.96332,64163.62032,47468.48077,73021.58912
"WBGene00004453",38791.61545,83928.66122,21541.07691,54897.64393,79509.25369,118504.265
"WBGene00004454",47322.39186,48480.72301,25099.57616,73930.66699,43249.71995,55174.50729
"WBGene00004456",30477.02421,71010.39465,43603.25621,104673.7655,51799.67928,98889.26602
"WBGene00004458",5116.891057,5971.124973,2797.164685,3902.892659,6762.404543,4937.218152
"WBGene00004459",3803.902574,6982.632013,3569.651023,5151.944987,6292.746126,4864.206313
"WBGene00004460",4783.392716,7958.098365,3383.694198,4739.177067,7171.533929,5725.227588
"WBGene00004461",3712.756675,6238.88759,2789.616506,3807.61742,5537.636524,4571.0603
"WBGene00004463",4194.800437,7212.277102,3290.061168,4308.286935,6145.079329,5148.479848
"WBGene00004464",3326.364331,4327.176672,2126.670915,3044.931866,4354.510384,3170.633334
"WBGene00004465",2862.894438,6329.251679,2499.066423,3647.742953,5205.803951,5501.902316
"WBGene00004466",2424.820862,5110.030255,2204.581895,3512.330766,4310.887926,3683.475535
"WBGene00004467",2610.600954,7406.993574,2689.466568,4386.207777,5623.538862,6123.030167
"WBGene00004468",2352.48579,5364.295216,1970.254095,2216.580322,4213.7308,3622.899046
"WBGene00004469",56824.54914,90575.65011,56596.11956,152141.5476,78041.7261,163305.6228
"WBGene00004470",73466.04799,79994.15991,51446.65024,148836.6937,75593.23218,136879.226
"WBGene00004471",70454.163,101958.1446,61727.31046,135435.6325,96037.94071,191363.3654
"WBGene00004472",61243.28723,103116.1639,50468.99966,124756.7374,88325.77591,147030.7964
"WBGene00004473",52002.73091,71229.04256,46840.13921,123197.4981,71307.9429,151474.121
"WBGene00004474",42216.58961,71230.30996,45853.9418,123219.4584,55672.14498,133912.4108
"WBGene00004475",42184.24468,58839.09735,34752.49131,99508.30116,54964.38706,110533.744
"WBGene00004476",51047.25044,66497.20716,42500.18085,120262.4347,58391.4067,109308.0093
"WBGene00004477",66075.88462,114519.4674,71659.79818,181364.0455,97148.0276,178583.7879
"WBGene00004478",62185.23224,134798.319,57654.85527,137012.216,109632.5378,259721.2997
"WBGene00004479",36656.38608,52505.62595,32169.53521,82566.5676,46334.06781,97725.12611
"WBGene00004480",44232.88247,72675.5834,40380.59192,111214.5325,59491.69451,133592.2892
"WBGene00004481",38390.70578,60449.70268,31552.41063,83640.16331,51742.45054,123639.5669
"WBGene00004482",33182.03584,32107.39817,20689.80912,61729.97618,30191.61794,61890.83045
"WBGene00004483",46963.95136,87276.32359,36177.49174,101504.4598,67499.93838,113032.5012
