id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
WBGene00010291,2609.600858,297.3963559,4921.80536,16.54964919,4.048728731,4.36E-44,9.32E-42
WBGene00008448,205.528867,23.57908152,387.4786525,16.43315293,4.038537403,4.06E-25,3.79E-23
WBGene00012892,168.6665665,19.63853855,317.6945945,16.17709962,4.015881066,1.54E-07,3.86E-06
WBGene00011159,10.02097546,1.178762088,18.86318884,16.00254117,4.000229115,0.00041162,0.005276053
WBGene00008972,28.4775612,3.351161928,53.60396047,15.99563424,3.999606292,5.03E-06,9.72E-05
WBGene00008605,8487.744415,1002.985299,15972.50353,15.92496275,3.993218093,1.27E-59,4.72E-57
WBGene00004133,3619.820164,430.2906743,6809.349654,15.82499938,3.984133538,1.64E-54,5.19E-52
WBGene00022725,398.4307923,47.64551996,749.2160646,15.72479564,3.974969363,5.48E-14,2.69E-12
WBGene00022415,15131.03889,1829.021353,28433.05643,15.54550273,3.958425368,1.05E-59,4.06E-57
WBGene00017501,15810.53911,1951.43928,29669.63893,15.20397752,3.926376892,4.48E-61,1.91E-58
WBGene00018040,353.4281004,43.82208525,663.0341155,15.13013613,3.919353063,1.34E-16,7.73E-15
WBGene00021389,2082.092844,262.819243,3901.366445,14.84429527,3.891836698,6.81E-41,1.25E-38
WBGene00022160,5397.562833,681.6319337,10113.49373,14.83717712,3.89114473,3.78E-58,1.35E-55
WBGene00044461,50.25088283,6.400091266,94.1016744,14.70317695,3.87805601,1.01E-05,0.00018551
WBGene00044395,633.3838048,82.52486543,1184.242744,14.35013239,3.842992141,2.25E-27,2.33E-25
